workload,predictor,branch_committed_median,branch_mispredicted_median,branch_mispredict_due_predictor_median,ipc_median,accuracy_committed,accuracy_predictor,mpki_est
branchy_test,BiModeBP,23182658.0,713023.0,712012.0,0.553988,0.9692432593363539,0.9692868695211739,
branchy_test,LTAGE,23182658.0,675241.0,674208.0,0.555246,0.9708730120592729,0.9709175712293215,
branchy_test,LocalBP,23182658.0,712287.0,711261.0,0.554012,0.9692750072058174,0.9693192644260206,
branchy_test,PerceptronBP,23182658.0,712287.0,711261.0,0.554012,0.9692750072058174,0.9693192644260206,
branchy_test,TAGE,23182658.0,673748.0,672720.0,0.555315,0.9709374136477361,0.9709817571393237,
branchy_test,TournamentBP,23182658.0,711992.0,710970.0,0.554038,0.9692877322350181,0.9693318169124524,
fft.1,BiModeBP,148293.0,4896.0,4226.0,1.827046,0.9669842811191358,0.9715023635640253,
fft.1,LTAGE,148293.0,1239.0,565.0,1.931516,0.9916449191802715,0.9961899752516976,
fft.1,LocalBP,148293.0,6984.0,6307.0,1.763233,0.9529040480670025,0.9574693343583311,
fft.1,PerceptronBP,148293.0,6984.0,6307.0,1.763233,0.9529040480670025,0.9574693343583311,
fft.1,TAGE,148293.0,1287.0,614.0,1.92901,0.9913212356618316,0.9958595483266236,
fft.1,TournamentBP,148293.0,2125.0,1447.0,1.903487,0.9856702609024027,0.9902422906003655,
mm,BiModeBP,3663394.0,9651.0,8634.0,0.20862,0.997365557731437,0.9976431691486092,
mm,LTAGE,3663394.0,3681.0,2653.0,0.208638,0.9989951940741291,0.9992758081713297,
mm,LocalBP,3663394.0,9032.0,8003.0,0.208647,0.997534526725763,0.9978154137938753,
mm,PerceptronBP,3663394.0,9032.0,8003.0,0.208647,0.997534526725763,0.9978154137938753,
mm,TAGE,3663394.0,8869.0,7838.0,0.208635,0.9975790209843659,0.9978604539943015,
mm,TournamentBP,3663394.0,9001.0,7978.0,0.208657,0.9975429888240249,0.9978222380666671,
